Sample ID,Absorbance
LC-01,0.0048
LC-02,0.0048
LC-03,0.0046
LC-04,0.0039
LC-05,0.0079
LC-06,0.0071
LC-07,0.0073
LC-08,0.0039
LC-09,0.0074
LC-10,0.0072
LC-11,0.0045
LC-12,0.0072
LC-13,0.0048
LC-14,0.0073
LC-15,0.0044
LC-16,0.0065
LC-17,0.005
LC-18,0.0077
LC-19,0.0045
LC-20,0.0065
LC-21,0.0072
LC-22,0.0067
WS01-01,0.0073
WS01-02,0.0074
WS01-03,0.007
WS01-04,0.0076
WS01-05,0.0077
WS01-06,0.0092
WS01-07,0.0045
WS01-08,0.0045
WS01-09,0.0084
WS01-10,0.0062
WS01-11,0.0085
WS01-12,0.0074
WS01-13,0.006
WS01-14,0.007
WS01-15,0.0082
WS01-16,0.0074
WS01-17,0.0074
WS01-18,0.0079
WS01-19,0.0085
WS01-20,NA
WS01-21,0.0077
WS01-22,0.0078
